Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
530343, 1199.29, 0.72, 14.21, 10.90, 4.78, genus-power-infrastructures-ltd
519552, 1208.09, 0.74, 16.41, 14.61, 35.36, heritage-foods-limited
500645, 1361.88, 0.74, 8.25, 5.13, 33.75, deepak-fertilisers--petrochemicals-corporation-ltd
533758, 1394.60, 1.04, 13.51, 9.20, 40.31, apl-apollo-tubes-ltd
500148, 1419.68, 0.38, 11.68, 8.41, 51.88, uflex-ltd
532944, 1492.96, --, 2.77, 1.26, 8.86, onmobile-global-ltd
512131, 1573.18, 1.99, 22.01, 13.40, 19.50, signet-industries-limited
539289, 1577.50, --, 6.20, 6.67, 2794.58, majesco-ltd
512161, 2048.90, --, 3.27, 2.02, 5.20, 8k-miles-software-services-ltd
532767, 2658.78, 2.52, 7.65, 3.23, 68.67, gayatri-projects-ltd
521064, 2946.84, 1.52, 10.19, 8.09, 12.99, trident-ltd
532809, 3021.31, 0.14, 9.73, 10.05, 3.12, firstsource-solutions-ltd
532482, 3312.53, 0.85, 20.78, 22.38, 10.27, granules-india-ltd
533122, 3496.27, 1.16, 0.19, -6.39, 0.38, rattanindia-power-limited
521016, 3950.95, 0.94, 47.43, 44.78, 60.00, indo-count-industries-ltd
500251, 5217.35, 0.05, 6.18, 7.29, 16.52, trent-ltd
523574, 6284.98, 0.81, 6.70, 1.43, 26.94, future-retail-ltd
530019, 7135.00, 1.07, 6.83, 10.54, 17.34, jubilant-life-sciences-limited
532522, 17868.75, 0.42, 15.85, 15.51, 19.19, petronet-lng-ltd
531500, 20882.26, 1.35, 11.27, 9.29, 25.37, rajesh-exports-ltd
